token,importance
Ġjar,0.99999994
Ġokay,0.7460878
Ġshe,0.7387004
Ġshe,0.7249266
Ġ,0.6932895
</s>,0.67911905
Ġthats,0.66219145
Ġcounter,0.6400828
Ġboy,0.6324402
Ġ,0.6302016
Ġpicture,0.6225594
Ġback,0.6148622
Ġthe,0.6066558
Ġwashing,0.605486
Ġwaters,0.59404325
Ġhe,0.5792186
Ġgreat,0.5741912
s,0.56234646
Ġdid,0.5606667
Ġfloor,0.5581513
Ġwaters,0.5399343
Ġdoesnt,0.53236604
Ġ,0.53200614
Ġit,0.53107166
Ġshould,0.5203157
Ġdishes,0.5189787
Ġyou,0.5171088
Ġhis,0.508955
Ġshe,0.49152052
Ġno,0.48739493
Ġwhen,0.47787276
Ġthe,0.46589276
Ġstool,0.46416873
Ġcookie,0.44831777
Ġall,0.44397795
Ġand,0.43803802
Ġthe,0.43520802
Ġfine,0.4321627
Ġsome,0.4320631
Ġnotice,0.42650616
s,0.42384538
Ġwear,0.42217457
Ġlittle,0.42036983
Ġbehind,0.41612986
Ġis,0.41480485
res,0.41019523
the,0.40834537
Ġrunning,0.407754
Ġmust,0.40593302
Ġtipping,0.40246585
Ġand,0.40024194
Ġi,0.39998442
Ġjust,0.3998777
Ġcookie,0.39589235
Ġthere,0.39545104
Ġrunning,0.39490375
Ġstand,0.39286783
dream,0.3873632
Ġtoo,0.3869996
Ġonto,0.3857253
Ġwho,0.3846453
Ġof,0.38428244
Ġare,0.38385087
Ġover,0.37858766
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<pad>,0.377879
<s>,0.37780377
Ġhas,0.37636927
Ġone,0.36246163
Ġmeant,0.3622412
Ġto,0.3618909
Ġthere,0.35902336
Ġgot,0.3589123
Ġthe,0.35779062
Ġover,0.3529433
Ġto,0.34623623
Ġover,0.32903802
Ġwanting,0.3283222
Ġon,0.3281044
Ġthis,0.32331017
Ġbe,0.30942804
Ġthis,0.308026
Ġa,0.30745396
Ġseem,0.30055907
Ġis,0.29613113
Ġday,0.29273954
Ġand,0.27624997
Ġhas,0.25337273
Ġwhich,0.20886137
Ġanother,0.19894814
Ġcouples,0.0
